year,skills_per_job
2015,5.416666666666667
2016,7.8
2017,7.82089552238806
2018,7.754716981132075
2019,7.024793388429752
2020,7.198198198198198
2021,7.740259740259741
2022,7.835990888382688
2023,7.51701244813278
2024,7.758325321213181
