year,python,machine learning,sql,data analysis,data engineering,aws,gcp,data warehousing,artificial intelligence
2020,9,23,10,12,1,1,1,1,5
2021,12,27,7,11,2,6,2,6,5
2022,26,106,45,54,11,13,24,12,18
2023,94,220,179,171,35,46,62,63,33
2024,2421,2162,2031,1817,961,708,637,570,563
