skill,cagr
data engineering,4.5677643628300215
aws,4.158320404094742
gcp,4.023829110175616
data warehousing,3.8861715864904545
python,3.0498419064028566
sql,2.7750914861406812
data analysis,2.5078694351683253
artificial intelligence,2.257501299448067
machine learning,2.11373725847777
